periode_data,tanggal,jenis_moda,jumlah_penumpang_per_hari,hari,bulan,outlier_iqr,days_since_start,month,day_of_week
202402,2024-02-01,transjakarta,1155322.0,Thursday,2024-02,False,31,2,3
202402,2024-02-02,transjakarta,1152107.0,Friday,2024-02,False,32,2,4
202402,2024-02-03,transjakarta,801212.0,Saturday,2024-02,False,33,2,5
202402,2024-02-04,transjakarta,670195.0,Sunday,2024-02,False,34,2,6
202402,2024-02-05,transjakarta,1159398.0,Monday,2024-02,False,35,2,0
202402,2024-02-06,transjakarta,1168189.0,Tuesday,2024-02,False,36,2,1
202402,2024-02-07,transjakarta,1180123.0,Wednesday,2024-02,False,37,2,2
202402,2024-02-08,transjakarta,696518.0,Thursday,2024-02,False,38,2,3
202402,2024-02-09,transjakarta,774403.0,Friday,2024-02,False,39,2,4
202402,2024-02-10,transjakarta,683082.0,Saturday,2024-02,False,40,2,5
202402,2024-02-11,transjakarta,645873.0,Sunday,2024-02,False,41,2,6
202402,2024-02-12,transjakarta,1147300.0,Monday,2024-02,False,42,2,0
202402,2024-02-13,transjakarta,1157441.0,Tuesday,2024-02,False,43,2,1
202402,2024-02-14,transjakarta,471864.0,Wednesday,2024-02,False,44,2,2
202402,2024-02-15,transjakarta,1111148.0,Thursday,2024-02,False,45,2,3
202402,2024-02-16,transjakarta,1129816.0,Friday,2024-02,False,46,2,4
202402,2024-02-17,transjakarta,742067.0,Saturday,2024-02,False,47,2,5
202402,2024-02-18,transjakarta,649062.0,Sunday,2024-02,False,48,2,6
202402,2024-02-19,transjakarta,1173362.0,Monday,2024-02,False,49,2,0
202402,2024-02-20,transjakarta,1194157.0,Tuesday,2024-02,False,50,2,1
202402,2024-02-21,transjakarta,1200226.0,Wednesday,2024-02,False,51,2,2
202402,2024-02-22,transjakarta,1179609.0,Thursday,2024-02,False,52,2,3
202402,2024-02-23,transjakarta,1172659.0,Friday,2024-02,False,53,2,4
202402,2024-02-24,transjakarta,769879.0,Saturday,2024-02,False,54,2,5
202402,2024-02-25,transjakarta,667620.0,Sunday,2024-02,False,55,2,6
202402,2024-02-26,transjakarta,1185213.0,Monday,2024-02,False,56,2,0
202402,2024-02-27,transjakarta,1197537.0,Tuesday,2024-02,False,57,2,1
202402,2024-02-28,transjakarta,1171695.0,Wednesday,2024-02,False,58,2,2
202402,2024-02-29,transjakarta,1099316.0,Thursday,2024-02,False,59,2,3
202401,2024-01-01,transjakarta,632778.0,Monday,2024-01,False,0,1,0
202401,2024-01-02,transjakarta,1045214.0,Tuesday,2024-01,False,1,1,1
202401,2024-01-03,transjakarta,1041663.0,Wednesday,2024-01,False,2,1,2
202401,2024-01-04,transjakarta,1097752.0,Thursday,2024-01,False,3,1,3
202401,2024-01-05,transjakarta,1105303.0,Friday,2024-01,False,4,1,4
202401,2024-01-06,transjakarta,716205.0,Saturday,2024-01,False,5,1,5
202401,2024-01-07,transjakarta,624900.0,Sunday,2024-01,False,6,1,6
202401,2024-01-08,transjakarta,1137742.0,Monday,2024-01,False,7,1,0
202401,2024-01-09,transjakarta,1150147.0,Tuesday,2024-01,False,8,1,1
202401,2024-01-10,transjakarta,1147436.0,Wednesday,2024-01,False,9,1,2
202401,2024-01-11,transjakarta,1125270.0,Thursday,2024-01,False,10,1,3
